description,id,jobflag
Maintain Network Performance by assisting with configurations and connections,1.0,3
"Establish a high level of code quality by writing unit tests, participating in code reviews, reducing cyclomatic complexity, removing code duplication, and debugging software modules",5.0,3
"RTL synthesis with timing and physical constraints, capacity and performance goals - Specifically, executing Xilinx Vivado and Intel PSG Quartus flows",6.0,3
"Designs, develops, documents, tests and debugs application software. Conducts analysis and collaborates with subject matter experts in the planning, design, development, and utilization of electronic data processing systems for information storage, processing, presentation, manipulation, display, or reporting.  Act as Scrum-of-Scrum Master for 2-3 teams to track cross-team dependencies and resolve barriers  Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",9.0,3
Provide and maintain domain expertise of relevant software technologies and products.,11.0,3
Developing new software components (initial design through testing and deployment),14.0,3
Participating in Tech Spikes and Feasibility studies to help flesh out new ideas and unknowns.,15.0,3
Stay actively engaged in the technology industry and understand how the evolving technologies can benefit our organization,16.0,3
Maintain and update controls portion of machine standards,17.0,3
Maintain a good working knowledge of current infrastructure and future trends and technologies.,18.0,3
Gathers information to support software project management,19.0,3
Evolve and refactor existing systems to scale and support future growth,20.0,3
Write stories (or requirements) of platform enhancements.,25.0,3
Experience in designing and developing high-performance switching and routing software,26.0,3
Make continual recommendations and maintain proactivity for best project result,28.0,3
"Electrically integrate connectors, sensors, actuators, electric motors, power electronics, vehicle control ECUs, battery management systems, battery chargers, DC/DC converters and Gensets into test facilities and vehicles.",31.0,3
Develop site-acceptance test (SAT) plans for EMS Commissioning.,34.0,3
Apply expert knowledge of Mechanical and Sound & Vibration engineering,35.0,3
"Strong communication, teamwork and problem solving skills are essential.",36.0,3
"Contribute to new and existing projects, collaborating with product owners, and other teams to deliver business value on an iterative basis",37.0,3
"Maintain the systems necessary to ensure quality of raw materials and finished products; provide primary support for all chemistry/quality related manufacturing issues; act as liaison between R&T (Research and Technology), Technical Service, Marketing & Sales, and Production; provide guidance for department (Lab) activity and ensure it is within budget.",38.0,3
"Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation.",41.0,3
Software development for low level validation of Mentor Graphics IPs,43.0,3
Solve technically complex problems and prioritize tasks based on technical knowledge,44.0,3
"Reporting to the Project Manager based in San Diego, CA.",48.0,3
"Developing novel techniques to tackle the challenges of prediction, optimization, and classification as they relate to: pattern recognition, target detection, tracking, reasoning and inferencing systems.",49.0,3
Collaborate with technical and non-technical users on software implementation.,50.0,3
Follow coding standards and best practices,51.0,3
"Experience in full stack development building web server both in Ubuntu and Windows operating systems for production, staging, and personal dev environment.",55.0,3
As needed review release status with key program team members weekly,56.0,3
"Foster commercial, cloud-based thinking across the various technical disciplines",57.0,3
Maintain high standards of software quality by establishing good practices and habits,61.0,3
"Troubleshoot and perform a root cause analysis of customer reported product issues (including: examining code base (compiling and comparing different versions), product logs, system logs, and other system debug information)",65.0,3
Collaborate with sales teams to understand customer requirements and provide sales support,66.0,3
"Design software systems that interface with humans, machines and other software.",68.0,3
Develop embedded software in support of Carrier wall controls and thermostats,71.0,3
Write documentation and/or technical articles for API and projects that you have worked on,76.0,3
Apply understanding of cryptographic protocols and compression technologies and their implementation in C/C++,78.0,3
"Mentor junior team members, motivate senior developers, establish priorities with Scrum Masters and Product Managers/Owners",79.0,3
"Write solid, maintainable, and testable code, paired with useful documentation",80.0,3
Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements,81.0,3
Provide technical advice on plant operations and improvements.,82.0,3
Complies with architectural standards and established methodologies and practices.,85.0,3
"Report any issues with source material promptly for quick replacement (audio/video drop-outs, audio glitches, distortions, sync problems, missing lines and all the other errors spotted)",86.0,3
Maintain updates and enhance software products,88.0,3
Implement and analyze results obtained from vulnerability scans,89.0,3
Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.,92.0,3
Accurately logging all customer interactions,93.0,3
Integrate AI engine/ techniques with Modeling and Simulation Applications,94.0,3
"Build and maintain new, high impact functionality",95.0,3
Document Local Area Network at assigned location(s),97.0,3
Build and deliver compelling demonstrations of the Freshworks products.,98.0,3
"Setup, deploy, and perform security administration based on experience",99.0,3
"This includes VoIP/IEN-Voice initiatives and configuring/optimizing all VoIP telephone systems and services, both internally, and those integrated with Internet-based services",100.0,3
"Design, implement, and integrate software for an embedded Linux target (applications, servers, and drivers)",104.0,3
"Structure and execute prototyping workshops to prove out proposed new architectures, develop best practices, and document key blocking requirements for prioritization with engineering.",105.0,3
"Identify causal relationships between observed failures, complaints and current manufacturing techniques. Product analysis and process evaluations are required to fulfill this requirement.",108.0,3
Participates in software product review meetings and team meetings,110.0,3
Implement tools to increase the level of automation in our infrastructure,112.0,3
Perform installation / configuration of new hardware.,114.0,3
Participate in design and code reviews,117.0,3
Ensure effective engineering and Client communications,119.0,3
May assist as an individual contributor to an Agile Product Team (e.g. developing solutions to achieve defined business outcomes) in addition to leading a team.,120.0,3
Travel to customer sites & commission the machines with all external vendors and perform FAT.,122.0,3
Perform ongoing support services to existing clients,123.0,3
Follows a scrum agile development process including analyzing and testing software to ensure solutions meet standards and end user requirements.,124.0,3
Work collaboratively with internal team members on investigating and fixing defects,125.0,3
"Support or conduct system, performance, volume, and stress testing",129.0,3
Ensure all deliverables meet the highest standard of quality through the use of quality practices such as unit testing,132.0,3
Assist with maintaining warranty status on all hardware.,134.0,3
"Design, develop, and maintain software test plans, software test cases, software test procedures, and automated software tests in compliance with program functional, technical, and performance requirements.",135.0,3
Prepare and deliver technical presentations explaining products or services to customers and prospective customers,139.0,3
"Demonstrates expertise in a variety of the fields concepts, practices, and procedures. Understand infrastructure services, networking topologies, protocols and practices.",140.0,3
"Design, develop, test, deploy, maintain and improve software.",141.0,3
"Works with less structured, more complex issues",143.0,3
May interface with internal & external clients to define system requirements and/or necessary modifications.,144.0,3
"Provide support to customer testers during acceptance testing, including test procedure walkthroughs, documentation of testing issues and test results, and answering questions on system functionality.",149.0,3
Document all processes and setup in detail,151.0,3
"Implement code that follows established standards and demonstrates a basic understanding of user interface design patterns, object oriented design, database management systems, database design, database access, memory management, design patterns, test automation, continuous integration/deployment, and versioning",155.0,3
Design infrastructure and drive its implementation to protect our networks and systems.,156.0,3
"Embedded SW Development for Automotive Products (They use a proprietary OS and OSEK OS, so it does not matter if the engineer has linux or windows experience), hands on knowledge on C or C++ programming",158.0,3
"Design, prototype, and implementation of new solutions",159.0,3
"Interpret, confirm, and/or challenge business requirements and document technical requirements",161.0,3
Collaborate with cross-functional engineering teams to develop new platform features,162.0,3
Actively participate in all phases of the development lifecycle.,165.0,3
"Maintain and expand existing plant floor machine control to Ethernet gateways, links and connections",168.0,3
Estimating Project-specific EMS costs & schedules.,172.0,3
Exercises Judgement within defined procedures and practices to determine appropriate action.,175.0,3
"Prepare audit summary findings, providing detailed comments related to the audit findings and make recommendations",176.0,3
