description,jobflag
"Executes and writes portions of testing plans, protocols, and documentation for assigned portion of application; identifies and debugs issues with code and suggests changes or improvements.",1
Maintain Network Performance by assisting with configurations and connections,2
Supports the regional compliance manager with day-to-day compliance support to assist the business and other stakeholders.,3
Keep up to date with local and national business and economic issues,0
Assist with Service Organization Control (SOC) examinations,3
"Establish a high level of code quality by writing unit tests, participating in code reviews, reducing cyclomatic complexity, removing code duplication, and debugging software modules",2
"RTL synthesis with timing and physical constraints, capacity and performance goals - Specifically, executing Xilinx Vivado and Intel PSG Quartus flows",2
Must be able to work independently in a small team.,0
Work with stakeholders to identify opportunities for leveraging company data to drive business solutions.,0
"Designs, develops, documents, tests and debugs application software. Conducts analysis and collaborates with subject matter experts in the planning, design, development, and utilization of electronic data processing systems for information storage, processing, presentation, manipulation, display, or reporting.  Act as Scrum-of-Scrum Master for 2-3 teams to track cross-team dependencies and resolve barriers  Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",2
Build scalable machine learning services and data platforms,1
Provide and maintain domain expertise of relevant software technologies and products.,2
"Ensure orders are processed timely and accurately. Address any order adjustments and billing corrections completely. Support post-purchase ownership experience including delivery and service scheduling, replacement parts ordering, and consumer relations activities.",3
Work with subject matter experts to gather requirements and use cases and design architecture and modules capable of scaling out to meet anticipated growth,1
Developing new software components (initial design through testing and deployment),2
Participating in Tech Spikes and Feasibility studies to help flesh out new ideas and unknowns.,2
Stay actively engaged in the technology industry and understand how the evolving technologies can benefit our organization,2
Maintain and update controls portion of machine standards,2
Maintain a good working knowledge of current infrastructure and future trends and technologies.,2
Gathers information to support software project management,2
Evolve and refactor existing systems to scale and support future growth,2
"Follows a disciplined, structured sales process by deploying solution selling and strategic selling tools and techniques",3
Provide clients with data cleansing opportunities as a result of the data discovery process,3
Recognized as a technical expert within the On-Q & Enhanced Recovery Technology Platform.,1
Undertake preprocessing of structured and unstructured data,0
Write stories (or requirements) of platform enhancements.,2
Experience in designing and developing high-performance switching and routing software,2
Work with cross-functional teams to develop ideas and execute business plans.,0
Make continual recommendations and maintain proactivity for best project result,2
Leading / Mentoring junior engineers,3
"Work in a startup-type environment to design and build innovative applications using Automation, Machine Learning/Cognitive Service, business / functional proofs-of-concepts to scalable, production ready solutions across a strategic business group",0
"Electrically integrate connectors, sensors, actuators, electric motors, power electronics, vehicle control ECUs, battery management systems, battery chargers, DC/DC converters and Gensets into test facilities and vehicles.",2
