id,From,To,industry,jobtitle,achievements
1,2011,2015,Consulting,Senior Consultant,"- Engaged multiple CRM/Analytic projects across Asia Pacific with leading multinational customers and partners. 
- Led three projects to assist the marketing operations group develop analytical capabilities.
- Scoped more than 100 KPIs and developed dashboards for the sales and marketing leaders of 19 brands.
- Analyzed a client's success for an end-to-end planning change.
- Assessed sales and marketing group’s competitive readiness for product loss-of-exclusivity, and recommended capabilities to the executive committee to develop and enhance.
- Facilitated workshops with senior sales and marketing leadership, led focus interviews, and developed frameworks to analyze qualitative information.
- Managed the program to improve classification practices and enabled data-driven decision-making.
- Ran PMO, managed six work streams and led quarterly meetings with the managers."
1,2016,2016,Consulting,Natural Language Processing Consultant,"- Scraped PDFs with Python in order to help digitize the official documents, The City Record.
- Helped design a schema for entries (such as extracting addresses).
- Created data cleaning regimes to standardize entries from over a hundred city agencies that all reported in different formats.
- Used Python and NLTK to perform exploratory Natural Language Processing on a century-long corpus of publications.
- Worked to integrate this pipeline into MS Access."
1,2017,2019,Tech,Data Scientist (Contract),"- Led the development and implementation of the data analysis and research infrastructure.
- Developed the AWS S3, Lambda, EC2, and Docker orchestration for extracting, processing, and storing financial, economic and market data from Thomson Reuters Eikon API.
- Built an NLP language model using Snorkel and MeTaL for the analysis earnings of call transcripts.
- Implemented forecasting models including retail sales analysis using more than 1TB of extraneous data such as weather, events, and client-specific metrics. Used proprietary infrastructure based on PostgreSQL, Vector, Bash and TensorFlow/Scikit-learn.
- Drove business decisions by researching, testing and integrating various regression and classification-based models using Python Scikit-learn, TensorFlow, and Keras.
- Developed an insurance algorithm for seismic and flood risk computation using MCMC."
1,2019,2020,Tech,Data Scientist (NLP Research),"- Developed language models across 100GB email data using transfer learning, text analysis/classification and clustering, few-shot learning, embeddings, and attention RNN networks.
- Worked on unsupervised data augmentation, weak supervision in Snorkel MeTaL and multi-task learning for malicious data classification.
- Implemented end-to-end machine learning models, in production, using TensorFlow, AWS S3/Athena and SageMaker on both CPU and GPU based architectures.
- Worked on string similarity and matching with one-shot learning/Siamese networks.
- Implemented various codebase improvements, testing automation, parallelized processing, and documentation design."
2,2004,2018,Tech,Research Scientist,"- As both an individual engineering contributor and a manager of data science group, I worked on the quality improvement of recommendation system and then the introduction of machine learning and deep learning for it. 
- The role of our team was to select a suitable hotel and nearby restaurant for the travelers.
- Our approach combines lexical analysis, syntax analysis, and semantic analysis to understand sentiment towards hotel features and the profiling of guest type (solo, family, couple etc). The proposed system recommends hotels based on the hotel features and guest type for personalized recommendation. The developed system not only has the ability to handle heterogeneous data using big data Hadoop platform but also recommends hotel class based on guest type using fuzzy rules. We finally result in the improvement in accuracy by 10% and the decrease in response time by 20%, significantly better than the previous approaches.
- Taking various initiatives with search quality improvements especially in Asian language understanding
- Working on machine learning infrastructure and information retrieval techniques to deeply understand the data and produce semantics/knowledge which is the key to the products we power
- Designing and scaling the big data systems
- Being the key member for the business and product strategy team
- Grew and managed the quality team responsible for defining, measuring, and improving core metrics"
2,2019,2020,Tech,Data Scientist,"- Our team was in charge of refurbishing recommendation system by modeling the human sense of the relationships towards objects based on their appearance.
- Our approach is based on handling the big dataset and developing a scalable method for uncovering human visual recognition.
- Cast this as a network inference problem defined on graphs of related images, and provide a large-scale dataset for the training and evaluation of the model. The system we develop is capable of recommending which clothes and accessories will go well together, and that capability cannot be seen at no other recommendation systems in the world so far.
- Lead the engineering team building the core components 
- Refined strategy for production, consumption, and engagement growth of ourproduct"
3,2015,2015,Tech,Machine Learning Engineer,"- Developed a Linux and Windows application for HR software to measure employee productivity.
- Cleaned and analyzed large datasets using Spark and Zeppelin.
- Created a service for Entity extracting using NLTK.
- Created a generic ML prediction service using Scikit Learn and Flask."
3,2016,2016,Tech,Machine Learning Engineer,"- Designed the curriculum of various Data Science/ML courses.
- Evaluated various IoT platforms.
- Investigated technologies such a TensorFlow and OpenCV to run ML algorithms on IoT devices."
3,2017,2017,Tech,Data Scientist,"- Created a real time system to capture the behavior of the pilots.
- Designed a robust data pipeline capable of processing millions of images.
- Developed a Neural Network model to drive a delivery robot on the sidewalk."
3,2018,2018,Tech,Machine Learning Engineer,"- Created computer vision models for autonomous visual inspection (AVI) for big manufacturing companies.
- Proposed and developed internal tools to improve the efficiency of processing datasets for machine learning analysis.
- Developed GAN models for data augmentation related tasks."
3,2019,2020,Tech,Senior Machine Learning Engineer,"- Developed a model for ranking potential costumers.
- Developed a neural network model for predicting sales using time series data.
- Created dashboards to visualize the supply and demand of users using Dash, Plotly, and Mapbox.
- Developed a deep learning model for the classification of photographer portfolios.
- Developed an image clustering algorithm for automatic culling.
- Developed some web-scrapers and other RPA automation tools to gather image data."
4,2016,2018,Tech,Data Engineer,"- Maintaining a data warehouse
- Developed software to detect errors and upgrades among users and thus improved the performance of the product
- Led a project to successfully create a data pipeline using Apache Kafka and Pyspark
- Adopted agile methodology and interacted directly with the entire team by providing feedback on the design
- Suggested/implemented optimal solutions, and tailored application to meet business requirement
- Automated ETL process and made it easier to wrangle data, reducing processing time as much as 40%
- Developed server monitoring scripts that reported down times on our application
- Provided an interface to connect the algorithm with the project's existing code"
