2931,4,"[0.04598615691065788, 0.008323661051690578, 0.00511951744556427, 0.9405706524848938]"
2932,3,"[0.001433913130313158, 0.003935239277780056, 0.9466861486434937, 0.04794466122984886]"
2933,3,"[0.002611180068925023, 0.004802891984581947, 0.9049451351165771, 0.08764080703258514]"
2934,1,"[0.9960992336273193, 0.0012819785624742508, 0.0007599930977448821, 0.0018588536186143756]"
2935,2,"[0.07684430480003357, 0.5285145044326782, 0.13438630104064941, 0.2602548897266388]"
2936,2,"[0.07466857135295868, 0.6432843208312988, 0.2749975323677063, 0.0070495689287781715]"
2937,3,"[0.010187224484980106, 0.03257552906870842, 0.9548124670982361, 0.0024247390683740377]"
2938,3,"[0.001396450214087963, 0.0008077957318164408, 0.9684840440750122, 0.029311755672097206]"
2939,3,"[0.005390231031924486, 0.0037998794578015804, 0.7916941046714783, 0.19911570847034454]"
2940,4,"[0.23022021353244781, 0.018242524936795235, 0.22625179588794708, 0.5252854824066162]"
2941,2,"[0.28599682450294495, 0.4909922778606415, 0.0953780859708786, 0.12763284146785736]"
2942,3,"[0.004460230469703674, 0.014917825348675251, 0.9625749588012695, 0.0180469062179327]"
2943,3,"[0.0005654491251334548, 0.002774550812318921, 0.9945293068885803, 0.002130705863237381]"
2944,4,"[0.00964575819671154, 0.002742075826972723, 0.22329311072826385, 0.7643190622329712]"
2945,4,"[0.23079141974449158, 0.0016405180795118213, 0.010498298332095146, 0.7570697069168091]"
2946,4,"[0.07133945822715759, 0.062424659729003906, 0.14701859652996063, 0.7192173600196838]"
2947,3,"[0.004488036967813969, 0.007876727730035782, 0.8869973421096802, 0.10063786804676056]"
2948,3,"[0.004569609649479389, 0.0007107428973540664, 0.9920278191566467, 0.0026917585637420416]"
2949,3,"[0.0008319165208376944, 0.0004380895697977394, 0.9858003854751587, 0.012929603457450867]"
2950,3,"[0.010077308863401413, 0.06271536648273468, 0.9063141345977783, 0.020893199369311333]"
2951,3,"[0.002917724195867777, 0.0014585540629923344, 0.9287624955177307, 0.06686126440763474]"
2952,3,"[0.0014719846658408642, 0.0014851568266749382, 0.9954977035522461, 0.0015451606595888734]"
2953,3,"[0.062427569180727005, 0.003353491658344865, 0.6430147290229797, 0.29120421409606934]"
2954,1,"[0.7606126070022583, 0.13894769549369812, 0.08682815730571747, 0.013611584901809692]"
2955,2,"[0.03200015425682068, 0.8419227004051208, 0.12144675105810165, 0.004630426876246929]"
2956,1,"[0.9927691221237183, 0.00603810790926218, 0.000732553075067699, 0.00046019532601349056]"
2957,3,"[0.004706657025963068, 0.0029541009571403265, 0.9334939122200012, 0.05884528532624245]"
2958,3,"[0.013346216641366482, 0.0009792716009542346, 0.97196364402771, 0.013710837811231613]"
2959,3,"[0.004204577766358852, 0.004315412603318691, 0.9353723526000977, 0.05610767379403114]"
2960,3,"[0.0008586564217694104, 0.0012642175424844027, 0.9963881969451904, 0.0014889973681420088]"
2961,4,"[0.15495629608631134, 0.0010195102076977491, 0.01208235789090395, 0.8319417834281921]"
